state,median_household_income
The United States,74755
Alabama,59674
Alaska,88121
Arizona,74568
Arkansas,55432
California,91551
Colorado,89302
Connecticut,88429
Delaware,82174
District of Columbia,101027
Florida,69303
Georgia,72837
Hawaii,92458
Idaho,72785
Illinois,76708
Indiana,66785
Iowa,69588
Kansas,68925
Kentucky,59341
Louisiana,55416
Maine,69543
Maryland,94991
Massachusetts,94488
Michigan,66986
Minnesota,82338
Mississippi,52719
Missouri,64811
Montana,67631
Nebraska,69597
Nevada,72333
New Hampshire,89992
New Jersey,96346
New Mexico,59726
New York,79557
North Carolina,67481
North Dakota,71970
Ohio,65720
Oklahoma,59673
Oregon,75657
Pennsylvania,71798
Rhode Island,81854
South Carolina,64115
South Dakota,69728
Tennessee,65254
Texas,72284
Utah,89168
Vermont,73991
Virginia,85873
Washington,91306
West Virginia,54329
Wisconsin,70996
Wyoming,70042
